,title,price,link
0,"HP Laptop 14s, 12th Gen Intel
                                        Core i3-1215U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD graphics,
                                        Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.46 kg),
                                        dy5008TU  ","34,990",http://amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUxNDk0ODEyOTM3ODY3OjE3MjgxNDAxMzM6c3BfYXRmOjMwMDA0MDI4MzMyMzMzMjo6MDo6&url=%2FHP-i3-1215U-Graphics-Speakers-dy5008TU%2Fdp%2FB0BZS88YPT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1728140133%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",http://amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUxNDk0ODEyOTM3ODY3OjE3MjgxNDAxMzM6c3BfYXRmOjMwMDA2ODcxNjY4MTEzMjo6MDo6&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1728140133%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ","22,990",http://amazon.in/Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-6
3,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",http://amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-7
4,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ","14,299",http://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_8?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-8
5,HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU Laptop  ,"49,990",http://amazon.in/HP-Backlit-Keyboard-15-6-inch-fy5009TU/dp/B0D4M66F6R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-9
6,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ","39,990",http://amazon.in/HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=sr_1_10?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-10
7,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","48,990",http://amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUxNDk0ODEyOTM3ODY3OjE3MjgxNDAxMzM6c3BfbXRmOjMwMDE3OTQ3ODc3NzUzMjo6MDo6&url=%2FAcer-i7-1255U-Premium-Windows-AL15-52%2Fdp%2FB0D262KC1J%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1728140133%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",http://amazon.in/sspa/click?ie=UTF8&spc=MTo2NzUxNDk0ODEyOTM3ODY3OjE3MjgxNDAxMzM6c3BfbXRmOjMwMDExOTgwOTMxNDYzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1728140133%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
9,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","18,990",http://amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_13?dib=eyJ2IjoiMSJ9.kQxoRRQ8_UNXqYWcee1PGJr0DoSU8hGBiipM0xJ1_6jwS3FfFOYvINbmF5t4AjVG9-aNqDWvbv4d1ydiRilw0PrB5Cq8J8sCDwpR51YBQjOD3tC0Ga6XcDm3LQLmzculNO9r7cn5MxuuzLHZY-DIvS5_ISzQ1q0sWPgJ_6DESpFMfFvjmlTcvY9s6C9o0N7YTbDm3-7T6ciTKv3w74Z3P8ZF4zRvAYNe_Jid2Mfl2RM.6-Fqln4tZpBzxgrRt07jaG7pBKElS4rPd5d_nTGmVEI&dib_tag=se&keywords=laptop&qid=1728140133&sr=8-13
